timestamp,pattern,sti,lti
2025-06-28 08:39:51.818228,Ants,4200.0,7000.0
2025-06-28 08:39:51.818277,(SimilarityLink abamectin Ants),2800.0,0
2025-06-28 08:41:07.650127,Ants,3630.110645917768,6988.416560491287
2025-06-28 08:41:07.650164,(SimilarityLink abamectin Ants),2233.0501731112117,0.0
2025-06-28 08:41:07.650192,farm,6504.935445051176,6504.934261090009
2025-06-28 08:41:07.650219,abamectin,1113.673486035799,0
2025-06-28 08:43:47.241235,Ants,3037.122881590652,6953.7885783239535
2025-06-28 08:43:47.241268,(SimilarityLink abamectin Ants),2309.657735152408,0.0
2025-06-28 08:43:47.241293,farm,6469.408019413825,6470.316325409012
2025-06-28 08:43:47.241317,abamectin,1556.6779387079262,0.0
2025-06-28 08:43:47.241341,aphids,5998.2177697160205,6026.919077349358
2025-06-28 08:47:23.840202,Ants,2663.4551809880977,6870.817147994543
2025-06-28 08:47:23.840237,(SimilarityLink abamectin Ants),2216.7075501778995,0.0
2025-06-28 08:47:23.840263,farm,6386.1775350726875,6387.400015404184
2025-06-28 08:47:23.840296,abamectin,1775.2040813458614,0.0
2025-06-28 08:47:23.840322,aphids,5915.480279974189,5944.057851051084
2025-06-28 08:47:23.840348,.,5567.026796243402,5561.266214532534
2025-06-28 08:52:41.905766,Ants,2365.382235228298,6751.096610363579
2025-06-28 08:52:41.905801,(SimilarityLink abamectin Ants),2099.524157001108,0.0
2025-06-28 08:52:41.905828,farm,6266.653774773364,6267.789871479221
2025-06-28 08:52:41.905854,abamectin,1832.5801272153174,0.0
2025-06-28 08:52:41.905880,aphids,5796.420432394987,5824.5579990386395
2025-06-28 08:52:41.905906,.,5448.050657264822,5441.87655273299
2025-06-28 08:52:41.905932,Botulinum,3101.8497179884266,5152.544364716663
2025-06-28 08:52:41.905960,(SimilarityLink acetamiprid Botulinum),2067.899811992285,0
2025-06-28 09:04:16.817236,Botulinum,2502.3992210064607,4965.606360298995
2025-06-28 09:04:16.817270,Ants,2071.574740289308,6562.841716965263
2025-06-28 09:04:16.817298,farm,6079.138722388379,6079.799095942194
2025-06-28 09:04:16.817325,avoids,4789.624559733701,4756.566687604828
2025-06-28 09:04:16.817351,aphids,5609.830113261125,5637.094348087791
2025-06-28 09:04:16.817378,.,5261.713899327207,5254.675909546056
2025-06-28 09:04:16.817404,abamectin,2597.498128866415,0.0
2025-06-28 09:04:16.817433,(SimilarityLink acetamiprid Botulinum),1542.784739149029,0.0
2025-06-28 09:19:12.270800,(SimilarityLink acetamiprid Botulinum),2367.711867020206,0.0
2025-06-28 09:19:12.270834,abamectin,1299.5334065497511,0.0
2025-06-28 09:19:12.270862,farm,5641.360622333474,5639.965260213349
2025-06-28 09:19:12.270889,avoids,4353.535647473104,4318.146477664678
2025-06-28 09:19:12.270916,aphids,5174.9141463092565,5200.083220543563
2025-06-28 09:19:12.270950,.,4828.439529438594,4819.069335607439
2025-06-28 09:19:12.270979,(SimilarityLink abamectin Ants),2772.9892446673985,0.0
2025-06-28 09:19:12.271006,alcohol,4280.211217425311,4242.509292968596
2025-06-28 10:09:55.429870,Botulinum,1952.7093824370133,4522.931584169022
2025-06-28 10:09:55.429904,Ants,1862.9385715687495,6121.589697405405
2025-06-28 10:09:55.429931,farm,5066.372853352257,5055.76777619434
2025-06-28 10:09:55.429957,avoids,3781.1340117037685,3736.400266536643
2025-06-28 10:09:55.429983,aphids,4604.637363447099,4620.77799684833
2025-06-28 10:09:55.430009,.,8905.629718852415,8806.258279666856
2025-06-28 10:09:55.430041,acetamiprid,1489.7547638634933,0
2025-06-28 10:09:55.430068,alcohol,3717.290000719781,3668.055360213106
